index,customer_id,total_spent,avg_order_value,order_frequency,total_items,avg_discount,first_purchase,last_purchase,customer_lifetime,recency,segment,segment_name,customer_tier,revenue_per_order,recency_category,clv_score,frequency_score,recency_score
54,1054,1351.87,225.31,6,11,0.15,2023-02-08,2024-08-04,543,148,0,Discount Driven,Silver,225.31166666666664,Moderate,8.0,38.0,80.0
55,1055,2711.96,339.0,8,17,0.12,2023-03-23,2024-09-26,553,95,1,High Value Loyalists,Gold,338.995,Moderate,16.0,50.0,87.0
56,1056,609.65,87.09,7,8,0.11,2023-04-16,2024-02-22,312,312,0,Discount Driven,Silver,87.09285714285714,Inactive,4.0,44.0,57.0
57,1057,396.43,79.29,5,7,0.15,2023-03-26,2024-02-01,312,333,0,Discount Driven,Bronze,79.286,Inactive,2.0,31.0,54.0
58,1058,4756.22,528.47,9,14,0.11,2023-01-14,2024-12-25,711,5,1,High Value Loyalists,Gold,528.468888888889,Very Recent,28.0,56.0,99.0
59,1059,820.12,136.69,6,10,0.11,2023-12-13,2024-10-17,309,74,0,Discount Driven,Silver,136.68666666666667,Recent,5.0,38.0,90.0
60,1060,1699.1,283.18,6,12,0.08,2023-01-19,2024-11-03,654,57,0,Discount Driven,Gold,283.18333333333334,Recent,10.0,38.0,92.0
61,1061,8596.94,1432.82,6,12,0.12,2023-10-15,2024-10-19,370,72,1,High Value Loyalists,Platinum,1432.8233333333335,Recent,51.0,38.0,90.0
62,1062,1606.61,267.77,6,9,0.18,2023-06-12,2024-12-20,557,10,0,Discount Driven,Gold,267.7683333333333,Very Recent,10.0,38.0,99.0
63,1063,7074.2,884.28,8,13,0.12,2023-03-28,2024-12-30,643,0,1,High Value Loyalists,Platinum,884.275,,42.0,50.0,100.0
64,1064,2296.42,287.05,8,14,0.13,2023-01-25,2024-11-26,671,34,0,Discount Driven,Gold,287.0525,Recent,14.0,50.0,95.0
65,1065,3259.23,325.92,10,13,0.12,2023-01-22,2024-12-28,706,2,1,High Value Loyalists,Gold,325.923,Very Recent,19.0,62.0,100.0
66,1066,3301.17,412.65,8,17,0.18,2023-03-17,2024-11-18,612,42,1,High Value Loyalists,Gold,412.64625,Recent,20.0,50.0,94.0
67,1067,1337.24,222.87,6,9,0.1,2023-04-28,2024-08-05,465,147,0,Discount Driven,Silver,222.87333333333333,Moderate,8.0,38.0,80.0
68,1068,5428.55,775.51,7,16,0.08,2023-01-16,2024-11-22,676,38,1,High Value Loyalists,Platinum,775.5071428571429,Recent,32.0,44.0,95.0
69,1069,2723.32,302.59,9,16,0.13,2023-02-02,2024-07-06,520,177,1,High Value Loyalists,Gold,302.5911111111111,Moderate,16.0,56.0,76.0
70,1070,444.68,444.68,1,2,0.12,2024-08-18,2024-08-18,0,134,0,Discount Driven,Bronze,444.68,Moderate,3.0,6.0,82.0
71,1071,2866.09,286.61,10,18,0.13,2023-01-29,2024-11-08,649,52,1,High Value Loyalists,Gold,286.60900000000004,Recent,17.0,62.0,93.0
72,1072,6135.99,767.0,8,14,0.15,2023-02-01,2024-04-20,444,254,1,High Value Loyalists,Platinum,766.99875,Inactive,36.0,50.0,65.0
73,1073,6408.74,915.53,7,13,0.08,2023-01-23,2024-05-25,488,219,1,High Value Loyalists,Platinum,915.5342857142857,Inactive,38.0,44.0,70.0
74,1074,1396.7,465.57,3,3,0.09,2023-03-30,2024-12-04,615,26,0,Discount Driven,Silver,465.56666666666666,Very Recent,8.0,19.0,96.0
75,1075,781.74,195.44,4,4,0.13,2023-01-22,2023-12-13,325,383,0,Discount Driven,Silver,195.435,Inactive,5.0,25.0,47.0
76,1076,2895.08,482.51,6,9,0.15,2023-02-02,2024-08-26,571,126,0,Discount Driven,Gold,482.5133333333333,Moderate,17.0,38.0,83.0
77,1077,251.55,125.78,2,3,0.16,2024-01-16,2024-08-18,215,134,0,Discount Driven,Bronze,125.775,Moderate,1.0,12.0,82.0
78,1078,3184.25,454.89,7,16,0.13,2023-01-23,2024-12-02,679,28,1,High Value Loyalists,Gold,454.89285714285717,Very Recent,19.0,44.0,96.0
79,1079,3267.47,653.49,5,8,0.09,2023-05-08,2024-06-14,403,199,1,High Value Loyalists,Gold,653.4939999999999,Inactive,19.0,31.0,73.0
80,1080,690.12,115.02,6,10,0.17,2023-06-22,2024-11-02,499,58,0,Discount Driven,Silver,115.02,Recent,4.0,38.0,92.0
81,1081,6062.51,673.61,9,13,0.13,2023-02-09,2024-12-26,686,4,1,High Value Loyalists,Platinum,673.6122222222223,Very Recent,36.0,56.0,99.0
82,1082,6686.76,668.68,10,18,0.09,2023-04-27,2024-12-28,611,2,1,High Value Loyalists,Platinum,668.676,Very Recent,40.0,62.0,100.0
83,1083,187.57,187.57,1,1,0.09,2024-12-16,2024-12-16,0,14,0,Discount Driven,Bronze,187.57,Very Recent,1.0,6.0,98.0
84,1084,715.55,178.89,4,5,0.11,2023-05-03,2024-11-30,577,30,0,Discount Driven,Silver,178.8875,Very Recent,4.0,25.0,96.0
85,1085,4145.27,690.88,6,12,0.08,2023-01-22,2024-09-25,612,96,1,High Value Loyalists,Gold,690.8783333333334,Moderate,25.0,38.0,87.0
86,1086,303.69,101.23,3,4,0.29,2023-08-26,2024-10-02,403,89,0,Discount Driven,Bronze,101.23,Recent,2.0,19.0,88.0
87,1087,806.03,115.15,7,8,0.09,2023-03-21,2024-08-17,515,135,0,Discount Driven,Silver,115.14714285714285,Moderate,5.0,44.0,81.0
88,1088,983.44,196.69,5,7,0.13,2023-01-13,2023-11-12,303,414,0,Discount Driven,Silver,196.68800000000002,Inactive,6.0,31.0,43.0
89,1089,7107.89,888.49,8,15,0.07,2023-02-03,2024-08-08,552,144,1,High Value Loyalists,Platinum,888.48625,Moderate,42.0,50.0,80.0
90,1090,1157.29,289.32,4,7,0.1,2023-05-05,2024-12-12,587,18,0,Discount Driven,Silver,289.3225,Very Recent,7.0,25.0,98.0
91,1091,6601.24,825.16,8,15,0.08,2023-05-23,2024-10-13,509,78,1,High Value Loyalists,Platinum,825.155,Recent,39.0,50.0,89.0
92,1092,3840.84,548.69,7,11,0.1,2023-01-18,2024-10-16,637,75,1,High Value Loyalists,Gold,548.6914285714286,Recent,23.0,44.0,90.0
93,1093,1070.44,214.09,5,8,0.19,2023-08-23,2024-12-20,485,10,0,Discount Driven,Silver,214.08800000000002,Very Recent,6.0,31.0,99.0
94,1094,1659.77,331.95,5,6,0.19,2023-01-02,2024-07-02,547,181,0,Discount Driven,Gold,331.954,Inactive,10.0,31.0,75.0
95,1095,1898.43,474.61,4,7,0.11,2023-04-14,2024-09-12,517,109,0,Discount Driven,Gold,474.6075,Moderate,11.0,25.0,85.0
96,1096,2356.86,392.81,6,13,0.13,2023-01-19,2024-10-12,632,79,0,Discount Driven,Gold,392.81,Recent,14.0,38.0,89.0
97,1097,4885.79,814.3,6,10,0.08,2023-04-21,2024-05-26,401,218,1,High Value Loyalists,Gold,814.2983333333333,Inactive,29.0,38.0,70.0
98,1098,2723.2,389.03,7,15,0.12,2023-01-12,2024-06-24,529,189,0,Discount Driven,Gold,389.0285714285714,Inactive,16.0,44.0,74.0
99,1099,1195.41,199.24,6,13,0.21,2023-05-18,2024-07-20,429,163,0,Discount Driven,Silver,199.235,Moderate,7.0,38.0,78.0
100,1100,3930.69,561.53,7,12,0.19,2023-04-11,2024-08-16,493,136,1,High Value Loyalists,Gold,561.5271428571428,Moderate,23.0,44.0,81.0
101,1101,5018.35,627.29,8,12,0.15,2023-01-15,2024-07-10,542,173,1,High Value Loyalists,Platinum,627.29375,Moderate,30.0,50.0,76.0
102,1102,1889.62,377.92,5,8,0.26,2023-06-18,2024-08-04,413,148,0,Discount Driven,Gold,377.924,Moderate,11.0,31.0,80.0
103,1103,1485.11,371.28,4,6,0.14,2023-04-16,2024-10-31,564,60,0,Discount Driven,Silver,371.2775,Recent,9.0,25.0,92.0
104,1104,1253.73,179.1,7,10,0.11,2023-06-14,2024-09-16,460,105,0,Discount Driven,Silver,179.1042857142857,Moderate,7.0,44.0,86.0
105,1105,4542.22,504.69,9,14,0.15,2023-04-28,2024-12-09,591,21,1,High Value Loyalists,Gold,504.6911111111111,Very Recent,27.0,56.0,97.0
106,1106,1808.95,258.42,7,12,0.12,2023-05-23,2024-08-15,450,137,0,Discount Driven,Gold,258.4214285714286,Moderate,11.0,44.0,81.0
107,1107,3667.09,523.87,7,11,0.17,2023-05-31,2024-07-22,418,161,1,High Value Loyalists,Gold,523.87,Moderate,22.0,44.0,78.0
108,1108,1385.29,346.32,4,8,0.13,2023-07-30,2024-08-26,393,126,0,Discount Driven,Silver,346.3225,Moderate,8.0,25.0,83.0
109,1109,1591.63,397.91,4,6,0.18,2023-04-17,2024-02-13,302,321,0,Discount Driven,Gold,397.9075,Inactive,9.0,25.0,56.0
110,1110,365.48,73.1,5,6,0.17,2023-02-26,2024-12-25,668,5,0,Discount Driven,Bronze,73.096,Very Recent,2.0,31.0,99.0
111,1111,2726.79,302.98,9,16,0.1,2023-01-02,2024-12-22,720,8,1,High Value Loyalists,Gold,302.9766666666667,Very Recent,16.0,56.0,99.0
112,1112,6147.59,1024.6,6,14,0.14,2023-01-03,2024-04-07,460,267,1,High Value Loyalists,Platinum,1024.5983333333334,Inactive,36.0,38.0,63.0
113,1113,2043.95,510.99,4,5,0.09,2023-04-20,2024-12-12,602,18,0,Discount Driven,Gold,510.9875,Very Recent,12.0,25.0,98.0
114,1114,1627.2,406.8,4,9,0.07,2023-06-01,2024-11-16,534,44,0,Discount Driven,Gold,406.8,Recent,10.0,25.0,94.0
115,1115,1715.79,571.93,3,7,0.15,2023-12-25,2024-11-22,333,38,0,Discount Driven,Gold,571.93,Recent,10.0,19.0,95.0
116,1116,2852.71,570.54,5,10,0.12,2023-10-30,2024-11-30,397,30,1,High Value Loyalists,Gold,570.542,Very Recent,17.0,31.0,96.0
117,1117,2255.04,451.01,5,7,0.09,2023-01-19,2024-10-09,629,82,0,Discount Driven,Gold,451.008,Recent,13.0,31.0,89.0
118,1118,1974.73,282.1,7,9,0.11,2023-03-03,2024-03-17,380,288,0,Discount Driven,Gold,282.1042857142857,Inactive,12.0,44.0,60.0
119,1119,2251.7,562.92,4,9,0.1,2023-11-23,2024-10-24,336,67,0,Discount Driven,Gold,562.925,Recent,13.0,25.0,91.0
120,1120,1153.06,230.61,5,8,0.21,2023-09-12,2024-11-24,439,36,0,Discount Driven,Silver,230.612,Recent,7.0,31.0,95.0
121,1121,4766.17,595.77,8,16,0.08,2023-01-21,2024-09-28,616,93,1,High Value Loyalists,Gold,595.77125,Moderate,28.0,50.0,87.0
122,1122,3002.7,600.54,5,10,0.08,2023-02-07,2024-05-13,461,231,0,Discount Driven,Gold,600.54,Inactive,18.0,31.0,68.0
123,1123,2603.86,433.98,6,10,0.2,2023-02-11,2024-09-25,592,96,0,Discount Driven,Gold,433.9766666666667,Moderate,15.0,38.0,87.0
124,1124,814.2,271.4,3,5,0.08,2023-03-09,2024-03-15,372,290,0,Discount Driven,Silver,271.40000000000003,Inactive,5.0,19.0,60.0
125,1125,3869.22,351.75,11,15,0.13,2023-02-03,2024-12-27,693,3,1,High Value Loyalists,Gold,351.74727272727273,Very Recent,23.0,69.0,100.0
126,1126,6271.27,1045.21,6,13,0.14,2023-04-11,2024-10-12,550,79,1,High Value Loyalists,Platinum,1045.2116666666668,Recent,37.0,38.0,89.0
127,1127,789.37,197.34,4,7,0.08,2023-02-05,2024-11-03,637,57,0,Discount Driven,Silver,197.3425,Recent,5.0,25.0,92.0
128,1128,2689.92,896.64,3,3,0.06,2023-05-06,2023-10-03,150,454,0,Discount Driven,Gold,896.64,Inactive,16.0,19.0,38.0
129,1129,5483.13,609.24,9,21,0.13,2023-04-04,2024-11-13,589,47,1,High Value Loyalists,Platinum,609.2366666666667,Recent,33.0,56.0,94.0
130,1130,4299.77,614.25,7,15,0.07,2023-03-21,2024-11-02,592,58,1,High Value Loyalists,Gold,614.2528571428572,Recent,26.0,44.0,92.0
131,1131,2742.1,274.21,10,16,0.15,2023-01-28,2024-12-21,693,9,1,High Value Loyalists,Gold,274.21,Very Recent,16.0,62.0,99.0
132,1132,2521.15,630.29,4,9,0.09,2023-05-31,2024-08-13,440,139,0,Discount Driven,Gold,630.2875,Moderate,15.0,25.0,81.0
133,1133,917.06,183.41,5,9,0.15,2023-01-16,2024-09-18,611,103,0,Discount Driven,Silver,183.41199999999998,Moderate,5.0,31.0,86.0
134,1134,1656.53,414.13,4,8,0.21,2023-06-21,2024-12-17,545,13,0,Discount Driven,Gold,414.1325,Very Recent,10.0,25.0,98.0
135,1135,657.55,131.51,5,8,0.11,2024-02-03,2024-08-07,186,145,0,Discount Driven,Silver,131.51,Moderate,4.0,31.0,80.0
136,1136,1920.4,274.34,7,11,0.15,2023-05-10,2024-09-09,488,112,0,Discount Driven,Gold,274.34285714285716,Moderate,11.0,44.0,85.0
137,1137,1112.38,278.09,4,7,0.11,2023-02-21,2024-12-26,674,4,0,Discount Driven,Silver,278.095,Very Recent,7.0,25.0,99.0
138,1138,1918.01,383.6,5,8,0.14,2023-04-16,2024-12-16,610,14,0,Discount Driven,Gold,383.602,Very Recent,11.0,31.0,98.0
139,1139,1819.19,454.8,4,5,0.15,2023-03-01,2024-12-28,668,2,0,Discount Driven,Gold,454.7975,Very Recent,11.0,25.0,100.0
140,1140,1838.16,229.77,8,15,0.12,2023-03-30,2024-08-17,506,135,0,Discount Driven,Gold,229.77,Moderate,11.0,50.0,81.0
141,1141,932.18,186.44,5,8,0.24,2023-02-24,2024-11-05,620,55,0,Discount Driven,Silver,186.43599999999998,Recent,6.0,31.0,92.0
142,1142,3991.33,570.19,7,15,0.14,2023-03-10,2024-03-12,368,293,1,High Value Loyalists,Gold,570.1899999999999,Inactive,24.0,44.0,60.0
143,1143,2705.45,386.49,7,9,0.17,2023-01-06,2024-10-21,654,70,0,Discount Driven,Gold,386.49285714285713,Recent,16.0,44.0,90.0
144,1144,414.8,414.8,1,2,0.39,2024-05-12,2024-05-12,0,232,0,Discount Driven,Bronze,414.8,Inactive,2.0,6.0,68.0
145,1145,7042.46,1173.74,6,11,0.07,2023-03-30,2024-11-17,598,43,1,High Value Loyalists,Platinum,1173.7433333333333,Recent,42.0,38.0,94.0
146,1146,1863.91,465.98,4,6,0.05,2023-02-18,2024-05-16,453,228,0,Discount Driven,Gold,465.9775,Inactive,11.0,25.0,69.0
147,1147,780.22,195.06,4,7,0.11,2023-01-30,2024-12-25,695,5,0,Discount Driven,Silver,195.055,Very Recent,5.0,25.0,99.0
148,1148,3289.29,411.16,8,10,0.13,2023-03-05,2024-12-01,637,29,1,High Value Loyalists,Gold,411.16125,Very Recent,20.0,50.0,96.0
149,1149,2709.53,541.91,5,11,0.15,2023-02-18,2024-06-16,484,197,0,Discount Driven,Gold,541.9060000000001,Inactive,16.0,31.0,73.0
150,1150,210.64,70.21,3,4,0.35,2023-05-12,2024-11-22,560,38,0,Discount Driven,Bronze,70.21333333333332,Recent,1.0,19.0,95.0
151,1151,2805.84,400.83,7,13,0.09,2023-01-02,2024-11-06,674,54,1,High Value Loyalists,Gold,400.8342857142857,Recent,17.0,44.0,93.0
152,1152,3406.45,486.64,7,10,0.15,2023-02-09,2024-06-27,504,186,1,High Value Loyalists,Gold,486.63571428571424,Inactive,20.0,44.0,74.0
153,1153,1331.04,190.15,7,12,0.2,2023-06-30,2024-11-26,515,34,0,Discount Driven,Silver,190.14857142857142,Recent,8.0,44.0,95.0
154,1154,7640.63,1273.44,6,16,0.16,2023-01-15,2024-10-27,651,64,1,High Value Loyalists,Platinum,1273.4383333333333,Recent,45.0,38.0,91.0
155,1155,608.55,152.14,4,6,0.12,2023-02-24,2024-12-09,654,21,0,Discount Driven,Silver,152.1375,Very Recent,4.0,25.0,97.0
156,1156,2370.3,592.57,4,6,0.17,2023-08-29,2024-05-21,266,223,0,Discount Driven,Gold,592.575,Inactive,14.0,25.0,69.0
157,1157,1233.0,246.6,5,10,0.16,2023-02-06,2024-02-25,384,309,0,Discount Driven,Silver,246.6,Inactive,7.0,31.0,57.0
158,1158,5163.54,860.59,6,12,0.14,2023-02-10,2024-09-03,571,118,1,High Value Loyalists,Platinum,860.59,Moderate,31.0,38.0,84.0
159,1159,2950.35,421.48,7,12,0.17,2023-03-11,2024-10-07,576,84,0,Discount Driven,Gold,421.4785714285714,Recent,18.0,44.0,88.0
160,1160,2342.39,292.8,8,12,0.12,2023-01-05,2024-01-23,383,342,0,Discount Driven,Gold,292.79875,Inactive,14.0,50.0,53.0
161,1161,1038.23,207.65,5,9,0.15,2023-09-02,2024-12-03,458,27,0,Discount Driven,Silver,207.64600000000002,Very Recent,6.0,31.0,96.0
162,1162,864.56,172.91,5,7,0.14,2023-11-23,2024-12-19,392,11,0,Discount Driven,Silver,172.91199999999998,Very Recent,5.0,31.0,98.0
163,1163,6536.79,1634.2,4,9,0.14,2023-01-26,2024-10-29,642,62,1,High Value Loyalists,Platinum,1634.1975,Recent,39.0,25.0,91.0
164,1164,1662.14,207.77,8,15,0.13,2023-04-24,2024-10-05,530,86,0,Discount Driven,Gold,207.7675,Recent,10.0,50.0,88.0
165,1165,12178.51,2029.75,6,14,0.1,2023-03-08,2024-09-17,559,104,1,High Value Loyalists,Platinum,2029.7516666666668,Moderate,72.0,38.0,86.0
166,1166,2547.58,318.45,8,12,0.18,2023-11-04,2024-07-18,257,165,0,Discount Driven,Gold,318.4475,Moderate,15.0,50.0,77.0
167,1167,2670.56,534.11,5,6,0.18,2023-02-08,2024-11-06,637,54,0,Discount Driven,Gold,534.112,Recent,16.0,31.0,93.0
168,1168,551.1,110.22,5,10,0.14,2023-09-01,2024-06-22,295,191,0,Discount Driven,Silver,110.22,Inactive,3.0,31.0,74.0
169,1169,1128.48,282.12,4,7,0.1,2024-05-14,2024-12-11,211,19,0,Discount Driven,Silver,282.12,Very Recent,7.0,25.0,97.0
170,1170,1831.14,228.89,8,14,0.12,2023-01-28,2024-11-20,662,40,0,Discount Driven,Gold,228.8925,Recent,11.0,50.0,94.0
171,1171,1355.39,193.63,7,10,0.15,2023-01-16,2024-12-19,703,11,0,Discount Driven,Silver,193.62714285714287,Very Recent,8.0,44.0,98.0
172,1172,1032.54,344.18,3,4,0.18,2023-02-19,2024-11-01,621,59,0,Discount Driven,Silver,344.18,Recent,6.0,19.0,92.0
173,1173,4556.66,911.33,5,12,0.12,2023-02-08,2024-10-02,602,89,1,High Value Loyalists,Gold,911.332,Recent,27.0,31.0,88.0
174,1174,2130.1,426.02,5,7,0.17,2023-07-28,2024-10-01,431,90,0,Discount Driven,Gold,426.02,Recent,13.0,31.0,88.0
175,1175,1067.91,177.98,6,11,0.13,2023-03-04,2024-09-24,570,97,0,Discount Driven,Silver,177.985,Moderate,6.0,38.0,87.0
176,1176,738.95,369.48,2,3,0.2,2023-01-26,2024-01-31,370,334,0,Discount Driven,Silver,369.475,Inactive,4.0,12.0,54.0
177,1177,6200.81,1033.47,6,11,0.21,2023-02-17,2024-09-22,583,99,1,High Value Loyalists,Platinum,1033.4683333333335,Moderate,37.0,38.0,86.0
178,1178,3641.34,455.17,8,14,0.16,2023-02-14,2024-11-28,653,32,1,High Value Loyalists,Gold,455.1675,Recent,22.0,50.0,96.0
179,1179,2894.6,482.43,6,8,0.13,2023-03-19,2024-09-28,559,93,0,Discount Driven,Gold,482.43333333333334,Moderate,17.0,38.0,87.0
