customer_id,total_spent,avg_order_value,order_frequency,total_items,avg_discount,first_purchase,last_purchase,customer_lifetime,recency,segment
1028,470.7,156.9,3,5,0.11,2023-03-27,2024-10-16,569,75,0
1029,2935.05,587.01,5,9,0.13,2023-07-08,2024-11-03,484,57,1
1030,725.29,181.32,4,7,0.11,2023-05-26,2024-11-18,542,42,0
1031,5225.66,746.52,7,12,0.14,2023-05-05,2024-08-28,481,124,1
1032,362.05,72.41,5,8,0.13,2023-05-23,2024-09-13,479,108,0
1033,419.54,69.92,6,6,0.16,2023-04-04,2024-10-02,547,89,0
1034,358.63,179.32,2,2,0.28,2023-08-09,2024-10-29,447,62,0
1035,91.64,91.64,1,2,0.03,2023-05-25,2023-05-25,0,585,0
1036,2142.4,428.48,5,9,0.12,2023-01-15,2024-12-02,687,28,0
1037,3472.75,496.11,7,11,0.12,2023-08-18,2024-12-29,499,1,1
1038,2043.32,340.55,6,11,0.14,2023-07-15,2024-11-19,493,41,0
1039,457.45,228.72,2,3,0.14,2023-07-08,2024-03-10,246,295,0
1040,3521.92,1173.97,3,7,0.1,2023-02-03,2023-10-20,259,437,1
1041,138.07,46.02,3,5,0.21,2023-04-05,2024-02-05,306,329,0
1042,842.76,210.69,4,6,0.18,2023-04-12,2024-01-12,275,353,0
1043,2150.99,430.2,5,6,0.12,2023-03-15,2024-11-23,619,37,0
1044,3158.25,451.18,7,12,0.12,2023-07-14,2024-07-18,370,165,1
1045,982.61,163.77,6,10,0.14,2023-02-23,2024-09-02,557,119,0
1046,96.4,96.4,1,1,0.37,2024-07-05,2024-07-05,0,178,0
1047,460.23,115.06,4,5,0.19,2023-02-20,2024-08-22,549,130,0
1048,4827.15,965.43,5,10,0.2,2023-06-25,2024-12-11,535,19,1
1049,2440.11,488.02,5,8,0.13,2023-01-23,2024-01-18,360,347,0
1050,3984.46,498.06,8,13,0.14,2023-04-16,2024-12-25,619,5,1
1051,1487.85,247.98,6,10,0.11,2023-08-15,2024-12-29,502,1,0
1052,3008.52,601.7,5,10,0.13,2023-01-13,2024-11-17,674,43,1
1053,141.6,35.4,4,6,0.13,2023-03-28,2024-06-23,453,190,0
1054,1351.87,225.31,6,11,0.15,2023-02-08,2024-08-04,543,148,0
1055,2711.96,339.0,8,17,0.12,2023-03-23,2024-09-26,553,95,1
1056,609.65,87.09,7,8,0.11,2023-04-16,2024-02-22,312,312,0
1057,396.43,79.29,5,7,0.15,2023-03-26,2024-02-01,312,333,0
1058,4756.22,528.47,9,14,0.11,2023-01-14,2024-12-25,711,5,1
1059,820.12,136.69,6,10,0.11,2023-12-13,2024-10-17,309,74,0
1060,1699.1,283.18,6,12,0.08,2023-01-19,2024-11-03,654,57,0
1061,8596.94,1432.82,6,12,0.12,2023-10-15,2024-10-19,370,72,1
1062,1606.61,267.77,6,9,0.18,2023-06-12,2024-12-20,557,10,0
1063,7074.2,884.28,8,13,0.12,2023-03-28,2024-12-30,643,0,1
1064,2296.42,287.05,8,14,0.13,2023-01-25,2024-11-26,671,34,0
1065,3259.23,325.92,10,13,0.12,2023-01-22,2024-12-28,706,2,1
1066,3301.17,412.65,8,17,0.18,2023-03-17,2024-11-18,612,42,1
1067,1337.24,222.87,6,9,0.1,2023-04-28,2024-08-05,465,147,0
1068,5428.55,775.51,7,16,0.08,2023-01-16,2024-11-22,676,38,1
1069,2723.32,302.59,9,16,0.13,2023-02-02,2024-07-06,520,177,1
1070,444.68,444.68,1,2,0.12,2024-08-18,2024-08-18,0,134,0
1071,2866.09,286.61,10,18,0.13,2023-01-29,2024-11-08,649,52,1
1072,6135.99,767.0,8,14,0.15,2023-02-01,2024-04-20,444,254,1
1073,6408.74,915.53,7,13,0.08,2023-01-23,2024-05-25,488,219,1
1074,1396.7,465.57,3,3,0.09,2023-03-30,2024-12-04,615,26,0
1075,781.74,195.44,4,4,0.13,2023-01-22,2023-12-13,325,383,0
1076,2895.08,482.51,6,9,0.15,2023-02-02,2024-08-26,571,126,0
1077,251.55,125.78,2,3,0.16,2024-01-16,2024-08-18,215,134,0
1078,3184.25,454.89,7,16,0.13,2023-01-23,2024-12-02,679,28,1
1079,3267.47,653.49,5,8,0.09,2023-05-08,2024-06-14,403,199,1
1080,690.12,115.02,6,10,0.17,2023-06-22,2024-11-02,499,58,0
1081,6062.51,673.61,9,13,0.13,2023-02-09,2024-12-26,686,4,1
1082,6686.76,668.68,10,18,0.09,2023-04-27,2024-12-28,611,2,1
1083,187.57,187.57,1,1,0.09,2024-12-16,2024-12-16,0,14,0
1084,715.55,178.89,4,5,0.11,2023-05-03,2024-11-30,577,30,0
1085,4145.27,690.88,6,12,0.08,2023-01-22,2024-09-25,612,96,1
1086,303.69,101.23,3,4,0.29,2023-08-26,2024-10-02,403,89,0
1087,806.03,115.15,7,8,0.09,2023-03-21,2024-08-17,515,135,0
1088,983.44,196.69,5,7,0.13,2023-01-13,2023-11-12,303,414,0
1089,7107.89,888.49,8,15,0.07,2023-02-03,2024-08-08,552,144,1
1090,1157.29,289.32,4,7,0.1,2023-05-05,2024-12-12,587,18,0
1091,6601.24,825.16,8,15,0.08,2023-05-23,2024-10-13,509,78,1
1092,3840.84,548.69,7,11,0.1,2023-01-18,2024-10-16,637,75,1
1093,1070.44,214.09,5,8,0.19,2023-08-23,2024-12-20,485,10,0
1094,1659.77,331.95,5,6,0.19,2023-01-02,2024-07-02,547,181,0
1095,1898.43,474.61,4,7,0.11,2023-04-14,2024-09-12,517,109,0
1096,2356.86,392.81,6,13,0.13,2023-01-19,2024-10-12,632,79,0
1097,4885.79,814.3,6,10,0.08,2023-04-21,2024-05-26,401,218,1
1098,2723.2,389.03,7,15,0.12,2023-01-12,2024-06-24,529,189,0
1099,1195.41,199.24,6,13,0.21,2023-05-18,2024-07-20,429,163,0
1100,3930.69,561.53,7,12,0.19,2023-04-11,2024-08-16,493,136,1
1101,5018.35,627.29,8,12,0.15,2023-01-15,2024-07-10,542,173,1
1102,1889.62,377.92,5,8,0.26,2023-06-18,2024-08-04,413,148,0
1103,1485.11,371.28,4,6,0.14,2023-04-16,2024-10-31,564,60,0
1104,1253.73,179.1,7,10,0.11,2023-06-14,2024-09-16,460,105,0
1105,4542.22,504.69,9,14,0.15,2023-04-28,2024-12-09,591,21,1
1106,1808.95,258.42,7,12,0.12,2023-05-23,2024-08-15,450,137,0
1107,3667.09,523.87,7,11,0.17,2023-05-31,2024-07-22,418,161,1
1108,1385.29,346.32,4,8,0.13,2023-07-30,2024-08-26,393,126,0
1109,1591.63,397.91,4,6,0.18,2023-04-17,2024-02-13,302,321,0
1110,365.48,73.1,5,6,0.17,2023-02-26,2024-12-25,668,5,0
1111,2726.79,302.98,9,16,0.1,2023-01-02,2024-12-22,720,8,1
1112,6147.59,1024.6,6,14,0.14,2023-01-03,2024-04-07,460,267,1
1113,2043.95,510.99,4,5,0.09,2023-04-20,2024-12-12,602,18,0
1114,1627.2,406.8,4,9,0.07,2023-06-01,2024-11-16,534,44,0
1115,1715.79,571.93,3,7,0.15,2023-12-25,2024-11-22,333,38,0
1116,2852.71,570.54,5,10,0.12,2023-10-30,2024-11-30,397,30,1
1117,2255.04,451.01,5,7,0.09,2023-01-19,2024-10-09,629,82,0
1118,1974.73,282.1,7,9,0.11,2023-03-03,2024-03-17,380,288,0
1119,2251.7,562.92,4,9,0.1,2023-11-23,2024-10-24,336,67,0
1120,1153.06,230.61,5,8,0.21,2023-09-12,2024-11-24,439,36,0
1121,4766.17,595.77,8,16,0.08,2023-01-21,2024-09-28,616,93,1
1122,3002.7,600.54,5,10,0.08,2023-02-07,2024-05-13,461,231,0
1123,2603.86,433.98,6,10,0.2,2023-02-11,2024-09-25,592,96,0
1124,814.2,271.4,3,5,0.08,2023-03-09,2024-03-15,372,290,0
1125,3869.22,351.75,11,15,0.13,2023-02-03,2024-12-27,693,3,1
1126,6271.27,1045.21,6,13,0.14,2023-04-11,2024-10-12,550,79,1
1127,789.37,197.34,4,7,0.08,2023-02-05,2024-11-03,637,57,0
1128,2689.92,896.64,3,3,0.06,2023-05-06,2023-10-03,150,454,0
1129,5483.13,609.24,9,21,0.13,2023-04-04,2024-11-13,589,47,1
1130,4299.77,614.25,7,15,0.07,2023-03-21,2024-11-02,592,58,1
1131,2742.1,274.21,10,16,0.15,2023-01-28,2024-12-21,693,9,1
1132,2521.15,630.29,4,9,0.09,2023-05-31,2024-08-13,440,139,0
1133,917.06,183.41,5,9,0.15,2023-01-16,2024-09-18,611,103,0
1134,1656.53,414.13,4,8,0.21,2023-06-21,2024-12-17,545,13,0
1135,657.55,131.51,5,8,0.11,2024-02-03,2024-08-07,186,145,0
1136,1920.4,274.34,7,11,0.15,2023-05-10,2024-09-09,488,112,0
1137,1112.38,278.09,4,7,0.11,2023-02-21,2024-12-26,674,4,0
1138,1918.01,383.6,5,8,0.14,2023-04-16,2024-12-16,610,14,0
1139,1819.19,454.8,4,5,0.15,2023-03-01,2024-12-28,668,2,0
1140,1838.16,229.77,8,15,0.12,2023-03-30,2024-08-17,506,135,0
1141,932.18,186.44,5,8,0.24,2023-02-24,2024-11-05,620,55,0
1142,3991.33,570.19,7,15,0.14,2023-03-10,2024-03-12,368,293,1
1143,2705.45,386.49,7,9,0.17,2023-01-06,2024-10-21,654,70,0
1144,414.8,414.8,1,2,0.39,2024-05-12,2024-05-12,0,232,0
1145,7042.46,1173.74,6,11,0.07,2023-03-30,2024-11-17,598,43,1
1146,1863.91,465.98,4,6,0.05,2023-02-18,2024-05-16,453,228,0
1147,780.22,195.06,4,7,0.11,2023-01-30,2024-12-25,695,5,0
1148,3289.29,411.16,8,10,0.13,2023-03-05,2024-12-01,637,29,1
1149,2709.53,541.91,5,11,0.15,2023-02-18,2024-06-16,484,197,0
1150,210.64,70.21,3,4,0.35,2023-05-12,2024-11-22,560,38,0
1151,2805.84,400.83,7,13,0.09,2023-01-02,2024-11-06,674,54,1
1152,3406.45,486.64,7,10,0.15,2023-02-09,2024-06-27,504,186,1
1153,1331.04,190.15,7,12,0.2,2023-06-30,2024-11-26,515,34,0
1154,7640.63,1273.44,6,16,0.16,2023-01-15,2024-10-27,651,64,1
1155,608.55,152.14,4,6,0.12,2023-02-24,2024-12-09,654,21,0
1156,2370.3,592.57,4,6,0.17,2023-08-29,2024-05-21,266,223,0
1157,1233.0,246.6,5,10,0.16,2023-02-06,2024-02-25,384,309,0
1158,5163.54,860.59,6,12,0.14,2023-02-10,2024-09-03,571,118,1
1159,2950.35,421.48,7,12,0.17,2023-03-11,2024-10-07,576,84,0
1160,2342.39,292.8,8,12,0.12,2023-01-05,2024-01-23,383,342,0
1161,1038.23,207.65,5,9,0.15,2023-09-02,2024-12-03,458,27,0
1162,864.56,172.91,5,7,0.14,2023-11-23,2024-12-19,392,11,0
1163,6536.79,1634.2,4,9,0.14,2023-01-26,2024-10-29,642,62,1
1164,1662.14,207.77,8,15,0.13,2023-04-24,2024-10-05,530,86,0
1165,12178.51,2029.75,6,14,0.1,2023-03-08,2024-09-17,559,104,1
1166,2547.58,318.45,8,12,0.18,2023-11-04,2024-07-18,257,165,0
1167,2670.56,534.11,5,6,0.18,2023-02-08,2024-11-06,637,54,0
1168,551.1,110.22,5,10,0.14,2023-09-01,2024-06-22,295,191,0
1169,1128.48,282.12,4,7,0.1,2024-05-14,2024-12-11,211,19,0
1170,1831.14,228.89,8,14,0.12,2023-01-28,2024-11-20,662,40,0
1171,1355.39,193.63,7,10,0.15,2023-01-16,2024-12-19,703,11,0
1172,1032.54,344.18,3,4,0.18,2023-02-19,2024-11-01,621,59,0
1173,4556.66,911.33,5,12,0.12,2023-02-08,2024-10-02,602,89,1
1174,2130.1,426.02,5,7,0.17,2023-07-28,2024-10-01,431,90,0
1175,1067.91,177.98,6,11,0.13,2023-03-04,2024-09-24,570,97,0
1176,738.95,369.48,2,3,0.2,2023-01-26,2024-01-31,370,334,0
1177,6200.81,1033.47,6,11,0.21,2023-02-17,2024-09-22,583,99,1
1178,3641.34,455.17,8,14,0.16,2023-02-14,2024-11-28,653,32,1
1179,2894.6,482.43,6,8,0.13,2023-03-19,2024-09-28,559,93,0
1180,285.76,95.25,3,6,0.13,2023-02-20,2024-04-29,434,245,0
1181,539.63,134.91,4,6,0.1,2023-02-28,2024-11-17,628,43,0
1182,7546.07,1078.01,7,18,0.13,2023-02-16,2024-09-24,586,97,1
1183,2205.57,551.39,4,7,0.13,2023-02-14,2024-07-04,506,179,0
1184,3646.93,520.99,7,12,0.17,2023-01-10,2024-11-28,688,32,1
1185,765.22,127.54,6,9,0.21,2023-03-21,2024-12-05,625,25,0
1186,380.55,95.14,4,5,0.2,2024-01-17,2024-12-03,321,27,0
1187,2181.22,363.54,6,11,0.09,2023-02-25,2024-11-11,625,49,0
1188,3873.9,774.78,5,9,0.11,2023-02-25,2024-09-15,568,106,1
1189,800.02,160.0,5,9,0.11,2023-07-20,2024-05-09,294,235,0
1190,2989.48,747.37,4,9,0.09,2023-12-12,2024-05-17,157,227,0
1191,2534.6,422.43,6,13,0.07,2023-01-02,2024-12-28,726,2,1
1192,832.69,277.56,3,4,0.16,2023-10-16,2024-04-15,182,259,0
1193,4801.78,436.53,11,19,0.13,2023-04-18,2024-12-16,608,14,1
1194,2265.86,453.17,5,7,0.18,2023-09-28,2024-09-05,343,116,0
1195,711.0,118.5,6,9,0.1,2023-06-07,2023-11-11,157,415,0
1196,1544.92,514.97,3,4,0.2,2024-02-10,2024-06-19,130,194,0
1197,556.88,139.22,4,5,0.18,2023-10-16,2024-12-23,434,7,0
1198,5692.56,1138.51,5,8,0.13,2023-06-07,2024-11-15,527,45,1
1199,4423.92,884.78,5,9,0.15,2023-07-26,2024-03-19,237,286,1
1200,4778.96,1194.74,4,8,0.11,2023-07-04,2024-11-12,497,48,1
1201,5681.84,437.06,13,24,0.12,2023-02-16,2024-12-09,662,21,1
1202,3012.12,430.3,7,12,0.19,2023-05-10,2024-11-07,547,53,1
1203,2303.17,287.9,8,12,0.1,2023-04-17,2024-07-23,463,160,0
1204,1416.34,202.33,7,12,0.17,2023-03-11,2024-11-17,617,43,0
1205,1734.58,289.1,6,9,0.13,2023-02-08,2024-12-11,672,19,0
1206,990.03,165.01,6,10,0.15,2023-01-15,2024-12-08,693,22,0
1207,12693.03,1153.91,11,24,0.09,2023-02-02,2024-12-30,697,0,1
1208,578.29,144.57,4,6,0.15,2023-03-30,2024-10-20,570,71,0
1209,3854.91,428.32,9,19,0.16,2023-11-03,2024-12-16,409,14,1
1210,205.16,205.16,1,1,0.11,2024-05-14,2024-05-14,0,230,0
1211,4048.05,506.01,8,14,0.15,2023-03-06,2024-11-10,615,50,1
1212,828.42,276.14,3,4,0.06,2023-01-24,2023-10-11,260,446,0
1213,1129.19,188.2,6,8,0.13,2023-01-17,2024-10-11,633,80,0
1214,1477.43,492.48,3,8,0.1,2023-04-11,2024-06-12,428,201,0
1215,1502.9,250.48,6,10,0.18,2023-01-16,2024-05-31,501,213,0
1216,360.43,120.14,3,5,0.01,2023-06-25,2024-10-28,491,63,0
1217,262.53,131.26,2,2,0.1,2024-11-18,2024-11-22,4,38,0
1218,4081.6,816.32,5,11,0.11,2023-02-01,2024-08-16,562,136,1
1219,1927.42,481.86,4,7,0.17,2023-06-13,2024-08-03,417,149,0
1220,2652.15,442.02,6,11,0.15,2023-06-10,2024-11-07,516,53,0
1221,3501.91,700.38,5,8,0.04,2023-01-24,2024-10-19,634,72,1
1222,1276.98,319.24,4,7,0.16,2023-03-09,2023-12-21,287,375,0
1223,6883.86,860.48,8,16,0.1,2023-01-10,2024-08-02,570,150,1
1224,5261.37,751.62,7,10,0.12,2023-05-21,2024-12-01,560,29,1
1225,3005.58,751.4,4,5,0.09,2023-07-03,2024-03-08,249,297,0
1226,2715.43,339.43,8,14,0.23,2023-01-18,2024-08-10,570,142,0
1227,5718.76,476.56,12,24,0.1,2023-02-17,2024-11-14,636,46,1
1228,1073.19,178.86,6,13,0.13,2023-08-27,2024-12-15,476,15,0
1229,3540.74,708.15,5,10,0.07,2023-01-19,2024-05-18,485,226,1
1230,3836.19,767.24,5,7,0.14,2023-03-13,2024-12-27,655,3,1
1231,1264.51,210.75,6,8,0.08,2023-01-01,2024-07-14,560,169,0
1232,3983.58,442.62,9,14,0.14,2023-09-12,2024-11-25,440,35,1
1233,5551.62,616.85,9,17,0.11,2023-01-24,2024-12-29,705,1,1
1234,4157.36,415.74,10,18,0.11,2023-01-03,2024-08-19,594,133,1
1235,2671.08,445.18,6,8,0.12,2023-01-15,2024-12-18,703,12,0
1236,2008.53,334.76,6,9,0.13,2023-01-03,2024-09-21,627,100,0
1237,4524.28,646.33,7,12,0.11,2023-03-21,2024-12-04,624,26,1
1238,4663.49,466.35,10,16,0.13,2023-01-03,2024-10-06,642,85,1
1239,6133.81,876.26,7,11,0.11,2023-03-31,2024-12-04,614,26,1
1240,1521.55,380.39,4,5,0.14,2023-01-06,2024-06-14,525,199,0
1241,4966.18,827.7,6,9,0.12,2023-06-21,2024-11-10,508,50,1
1242,3345.26,371.7,9,12,0.14,2023-02-02,2024-11-19,656,41,1
1243,3202.08,640.42,5,9,0.08,2023-08-11,2024-09-27,413,94,1
1244,8027.6,802.76,10,19,0.18,2023-01-18,2024-11-04,656,56,1
1245,1605.88,535.29,3,5,0.24,2023-06-10,2024-02-19,254,315,0
1246,3907.7,434.19,9,17,0.11,2023-03-27,2024-11-19,603,41,1
1247,602.24,150.56,4,5,0.11,2023-08-08,2024-09-29,418,92,0
1248,2260.9,376.82,6,14,0.1,2023-05-07,2024-09-23,505,98,0
1249,1345.77,192.25,7,16,0.12,2023-01-14,2024-12-23,709,7,0
1250,3629.96,518.57,7,9,0.13,2023-06-14,2024-12-30,565,0,1
1251,693.26,693.26,1,2,0.13,2023-08-04,2023-08-04,0,514,0
1252,6170.93,1028.49,6,12,0.11,2023-08-16,2024-12-30,502,0,1
1253,331.82,110.61,3,3,0.25,2023-03-28,2024-10-27,579,64,0
1254,1164.4,388.13,3,5,0.11,2023-12-21,2024-03-19,89,286,0
1255,974.32,162.39,6,9,0.17,2023-09-16,2024-12-15,456,15,0
1256,2538.81,253.88,10,21,0.09,2023-01-19,2024-12-14,695,16,1
1257,4334.45,541.81,8,15,0.14,2023-02-14,2024-11-18,643,42,1
1258,2869.38,318.82,9,17,0.12,2023-01-27,2024-08-27,578,125,1
1259,1685.64,168.56,10,13,0.13,2023-03-04,2024-10-09,585,82,0
1260,4756.8,594.6,8,12,0.13,2023-02-03,2024-06-25,508,188,1
1261,1111.65,555.83,2,3,0.2,2023-02-16,2024-10-25,617,66,0
1262,683.28,170.82,4,6,0.13,2023-01-01,2023-09-08,250,479,0
1263,3240.1,648.02,5,7,0.09,2023-02-18,2024-11-03,624,57,1
1264,5003.71,833.95,6,9,0.14,2023-02-16,2024-07-30,530,153,1
1265,4076.46,815.29,5,11,0.12,2023-03-31,2024-10-11,560,80,1
1266,455.94,65.13,7,11,0.14,2023-03-30,2024-10-12,562,79,0
1267,3134.92,522.49,6,8,0.11,2023-04-06,2024-09-11,524,110,1
1268,720.47,144.09,5,6,0.14,2023-01-30,2023-07-04,155,545,0
1269,8117.05,901.89,9,18,0.17,2023-01-05,2024-09-28,632,93,1
1270,3849.91,549.99,7,12,0.22,2023-11-27,2024-12-27,396,3,1
1271,929.24,154.87,6,11,0.15,2023-04-02,2024-12-03,611,27,0
1272,3305.72,472.25,7,11,0.13,2023-03-27,2024-10-02,555,89,1
1274,10.63,10.63,1,1,0.04,2023-07-10,2023-07-10,0,539,0
1275,2335.51,212.32,11,18,0.13,2023-01-08,2024-10-22,653,69,1
1276,3230.54,461.51,7,11,0.1,2023-05-14,2024-12-26,592,4,1
1277,3725.39,620.9,6,10,0.13,2023-03-25,2024-10-18,573,73,1
1278,1253.74,313.44,4,7,0.15,2023-07-19,2024-12-26,526,4,0
1279,2537.19,507.44,5,9,0.16,2023-04-21,2024-07-20,456,163,0
1280,37.02,18.51,2,2,0.22,2024-12-20,2024-12-30,10,0,0
1281,1892.82,236.6,8,11,0.15,2023-01-16,2024-11-25,679,35,0
1282,5226.95,871.16,6,10,0.1,2023-01-13,2024-09-23,619,98,1
1283,268.48,67.12,4,6,0.17,2023-09-28,2023-11-18,51,408,0
1284,2146.64,268.33,8,12,0.16,2023-06-20,2024-06-11,357,202,0
1285,616.02,123.2,5,9,0.12,2023-03-19,2024-08-08,508,144,0
1286,465.93,232.96,2,4,0.28,2023-10-16,2024-09-27,347,94,0
1287,2794.4,399.2,7,12,0.15,2024-01-13,2024-12-09,331,21,1
1288,395.92,131.97,3,4,0.25,2023-02-26,2024-03-05,373,300,0
1289,4552.9,455.29,10,20,0.15,2023-03-23,2024-11-02,590,58,1
1290,5713.48,634.83,9,16,0.17,2023-06-03,2024-12-26,572,4,1
1291,382.68,127.56,3,8,0.05,2023-01-07,2024-11-12,675,48,0
1292,3776.58,539.51,7,11,0.14,2023-06-20,2024-11-09,508,51,1
1293,3131.62,626.32,5,9,0.08,2024-01-08,2024-12-05,332,25,1
1294,1998.36,285.48,7,10,0.23,2023-04-27,2024-11-13,566,47,0
1295,1718.12,286.35,6,8,0.17,2023-05-04,2024-09-12,497,109,0
1296,2732.64,546.53,5,10,0.08,2023-03-03,2024-11-12,620,48,1
1297,1822.36,455.59,4,6,0.1,2023-05-26,2024-02-03,253,331,0
1298,2783.6,556.72,5,8,0.13,2023-01-10,2024-12-03,693,27,0
1299,769.26,128.21,6,9,0.11,2023-01-25,2024-09-19,603,102,0
1300,3252.91,650.58,5,8,0.1,2023-06-30,2024-06-04,340,209,1
1301,791.68,113.1,7,12,0.12,2023-04-28,2024-12-08,590,22,0
1302,612.58,122.52,5,12,0.16,2023-02-01,2024-11-22,660,38,0
1303,7281.46,1040.21,7,14,0.15,2023-10-28,2024-12-11,410,19,1
1304,2270.52,567.63,4,7,0.12,2023-04-06,2024-10-11,554,80,0
1305,1637.18,272.86,6,9,0.06,2023-03-06,2024-11-16,621,44,0
1306,1518.65,216.95,7,10,0.15,2023-06-01,2024-12-24,572,6,0
1307,5135.91,641.99,8,12,0.1,2023-01-12,2024-11-27,685,33,1
1308,1858.87,232.36,8,14,0.14,2023-03-03,2024-12-28,666,2,0
1309,1645.61,274.27,6,12,0.15,2023-07-10,2024-11-30,509,30,0
1310,390.71,130.24,3,3,0.16,2024-04-30,2024-10-07,160,84,0
1311,117.24,117.24,1,1,0.1,2023-04-03,2023-04-03,0,637,0
1312,4258.06,851.61,5,10,0.07,2023-08-24,2024-11-09,443,51,1
1313,1268.27,317.07,4,6,0.04,2023-11-08,2024-11-26,384,34,0
1314,3333.86,1111.29,3,7,0.08,2024-06-02,2024-11-27,178,33,1
1315,3099.66,774.92,4,6,0.09,2023-04-03,2024-06-16,440,197,1
1316,2903.12,580.62,5,9,0.14,2023-07-14,2024-08-18,401,134,0
1317,4195.36,699.23,6,11,0.09,2023-05-14,2024-09-18,493,103,1
1318,4528.14,646.88,7,10,0.08,2023-01-22,2024-06-15,510,198,1
1319,657.76,328.88,2,4,0.19,2024-08-07,2024-10-05,59,86,0
1320,199.85,99.93,2,4,0.12,2024-05-20,2024-09-04,107,117,0
1321,1549.35,309.87,5,8,0.13,2023-01-01,2024-09-18,626,103,0
1322,1486.12,743.06,2,4,0.06,2024-05-11,2024-08-06,87,146,0
1323,935.44,311.81,3,4,0.15,2023-01-06,2024-01-10,369,355,0
1324,2500.39,500.08,5,10,0.11,2023-01-26,2024-11-07,651,53,0
1325,6159.86,684.43,9,17,0.11,2023-03-28,2024-12-26,639,4,1
1326,518.7,172.9,3,5,0.07,2023-10-05,2024-10-07,368,84,0
1327,1548.0,309.6,5,8,0.13,2023-01-18,2024-12-07,689,23,0
1328,6061.16,551.01,11,17,0.16,2023-01-17,2024-11-20,673,40,1
1329,2707.84,300.87,9,15,0.12,2023-03-16,2024-12-09,634,21,1
1330,417.86,104.46,4,6,0.13,2023-05-17,2024-04-18,337,256,0
1331,1551.93,155.19,10,12,0.14,2023-02-23,2024-10-18,603,73,0
1332,857.09,285.7,3,4,0.06,2023-03-16,2024-09-12,546,109,0
1333,1862.47,310.41,6,10,0.12,2023-06-13,2024-09-22,467,99,0
1334,1068.57,356.19,3,4,0.11,2023-07-11,2024-06-25,350,188,0
1335,2592.95,648.24,4,6,0.09,2023-07-12,2024-11-01,478,59,0
1336,1776.6,355.32,5,8,0.12,2023-05-03,2024-10-30,546,61,0
1337,1267.1,211.18,6,9,0.21,2023-07-01,2024-04-27,301,247,0
1338,2148.52,537.13,4,7,0.12,2023-02-09,2024-06-23,500,190,0
1339,5432.13,905.36,6,10,0.12,2023-02-05,2024-03-01,390,304,1
1340,2140.49,178.37,12,18,0.13,2023-03-05,2024-12-28,664,2,1
1341,1469.21,367.3,4,4,0.18,2023-07-26,2024-08-28,399,124,0
1342,1620.75,324.15,5,10,0.08,2023-01-18,2024-11-26,678,34,0
1343,1361.24,272.25,5,8,0.09,2023-02-06,2024-11-12,645,48,0
1344,96.85,48.42,2,2,0.05,2023-01-23,2023-06-09,137,570,0
1345,1686.29,421.57,4,5,0.04,2023-07-27,2024-09-08,409,113,0
1346,901.0,225.25,4,6,0.1,2023-07-15,2024-12-13,517,17,0
1347,320.02,80.0,4,9,0.19,2023-04-02,2024-08-16,502,136,0
1348,3250.28,464.33,7,13,0.13,2023-04-18,2024-12-24,616,6,1
